OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude,Geocoding Status,Geocoding Query
7,WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",Big Cabin,OK,307,3.00733333,36.5378651,-95.221358,success,"WOODSHED OF BIG CABIN, Big Cabin, OK, USA"
9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,420,3.28733333,44.0188735,-90.5025628,success,"KWIK TRIP #796, Tomah, WI, USA"
20,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,32.9303784,-112.6731472,success,"PILOT TRAVEL CENTER #1243, Gila Bend, AZ, USA"
28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,645,3.399,35.314474,-94.401468,success,"LITTLEFIELD EXPRESS #2, Fort Smith, AR, USA"
35,ACI TRUCK STOP,US-46,Columbia,NJ,90,3.079,40.9262077,-75.0926763,success,"ACI TRUCK STOP, Columbia, NJ, USA"
36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,60,2.899,38.7459482,-78.6422377,success,"SHENANDOAH TRUCK CENTER, Mount Jackson, VA, USA"
44,CIRCLE K #2612042,"I-35,  EXIT 271",Jarrell,TX,595,2.919,30.7748123,-97.6274636,success,"CIRCLE K #2612042, Jarrell, TX, USA"
46,PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,720,3.154,32.3948615,-85.916902,success,"PETRO STOPPING CENTER #348, Shorter, AL, USA"
49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,415,3.959,38.9592201,-85.8902547,success,"TA SEYMOUR TRAVEL CENTER, Seymour, IN, USA"
50,TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,319,3.72566666,41.179959,-95.838548,success,"TA COUNCIL BLUFFS TRAVEL CENTER, Council Bluffs, IA, USA"
56,TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,390,3.51566666,46.813878,-100.2915,success,"TOPS TRUCK STOP, Sterling, ND, USA"
75,Good 2 Go #709,US-50,Montrose,CO,810,3.424,38.4781927,-107.876277,success,"Good 2 Go #709, Montrose, CO, USA"
77,OASIS TRAVEL PLAZA,US-13,Laurel,DE,243,3.229,38.5565041,-75.5713141,success,"OASIS TRAVEL PLAZA, Laurel, DE, USA"
79,DELAWARE TRUCK PLAZA,US-13 & US-40,New Castle,DE,243,3.249,39.6620572,-75.5663132,success,"DELAWARE TRUCK PLAZA, New Castle, DE, USA"
81,One9 #89,"I-75, EXIT 224",Ellenton,FL,225,3.439,27.528321,-82.512192,success,"One9 #89, Ellenton, FL, USA"
